TransactionID,CustID,Date,Employee,ProductID,ProductName,VendorID,ProductVendor,UnitPrice,Quantity,Subtotal,Tax(8%),OrderTotal,Month,Year,Weekday
10325,8,2023-10-09,Nancy Davolio,31,gorgonzola telino,14,formaggi fortini s.r.l.,10.0,4,40.0,3.2,43.2,10,2023,Monday
10340,9,2023-10-29,Nancy Davolio,18,carnarvon tigers,7,"pavlova, ltd.",50.0,20,1000.0,80.0,1080.0,10,2023,Sunday
10340,9,2023-10-29,Nancy Davolio,41,jack's new england clam chowder,19,new england seafood cannery,7.7,12,92.4,7.39,99.79,10,2023,Sunday
10351,1,2023-11-11,Nancy Davolio,38,cte de blaye,18,aux joyeux ecclsiastiques,210.8,20,4216.0,337.28,4553.28,11,2023,Saturday
10351,1,2023-11-11,Nancy Davolio,41,jack's new england clam chowder,19,new england seafood cannery,7.7,13,100.1,8.01,108.11,11,2023,Saturday
10351,1,2023-11-11,Nancy Davolio,65,louisiana fiery hot pepper sauce,2,new orleans cajun delights,16.8,10,168.0,13.44,181.44,11,2023,Saturday
10357,10,2023-11-19,Nancy Davolio,26,gumbr gummibrchen,11,heli swaren gmbh & co. kg,24.9,16,398.4,31.87,430.27,11,2023,Sunday
10357,10,2023-11-19,Nancy Davolio,60,camembert pierrot,28,gai pturage,27.2,8,217.6,17.41,235.01,11,2023,Sunday
10364,11,2023-11-26,Nancy Davolio,71,flotemysost,15,norske meierier,17.2,5,86.0,6.88,92.88,11,2023,Sunday
10371,12,2023-12-03,Nancy Davolio,36,inlagd sill,17,svensk sjfda ab,15.2,6,91.2,7.3,98.5,12,2023,Sunday
10374,13,2023-12-05,Nancy Davolio,58,escargots de bourgogne,27,escargots nouveaux,10.6,15,159.0,12.72,171.72,12,2023,Tuesday
10377,14,2023-12-09,Nancy Davolio,28,rssle sauerkraut,12,plutzer lebensmittelgromrkte ag,36.4,20,728.0,58.24,786.24,12,2023,Saturday
10377,14,2023-12-09,Nancy Davolio,39,chartreuse verte,18,aux joyeux ecclsiastiques,14.4,20,288.0,23.04,311.04,12,2023,Saturday
10385,15,2023-12-17,Nancy Davolio,7,uncle bob's organic dried pears,3,grandma kelly's homestead,24.0,10,240.0,19.2,259.2,12,2023,Sunday
10385,15,2023-12-17,Nancy Davolio,60,camembert pierrot,28,gai pturage,27.2,20,544.0,43.52,587.52,12,2023,Sunday
10385,15,2023-12-17,Nancy Davolio,68,scottish longbreads,8,"specialty biscuits, ltd.",10.0,8,80.0,6.4,86.4,12,2023,Sunday
10387,16,2023-12-18,Nancy Davolio,24,guaran fantstica,10,refrescos americanas ltda,3.6,15,54.0,4.32,58.32,12,2023,Monday
10387,16,2023-12-18,Nancy Davolio,28,rssle sauerkraut,12,plutzer lebensmittelgromrkte ag,36.4,6,218.4,17.47,235.87,12,2023,Monday
10387,16,2023-12-18,Nancy Davolio,59,raclette courdavault,28,gai pturage,44.0,12,528.0,42.24,570.24,12,2023,Monday
10387,16,2023-12-18,Nancy Davolio,71,flotemysost,15,norske meierier,17.2,15,258.0,20.64,278.64,12,2023,Monday
10393,17,2023-12-25,Nancy Davolio,25,nunuca nu-nougat-creme,11,heli swaren gmbh & co. kg,11.2,7,78.4,6.27,84.67,12,2023,Monday
10394,18,2023-12-25,Nancy Davolio,13,konbu,6,mayumi's,4.8,10,48.0,3.84,51.84,12,2023,Monday
10394,18,2023-12-25,Nancy Davolio,62,tarte au sucre,29,forts d'rables,39.4,10,394.0,31.52,425.52,12,2023,Monday
10396,19,2023-12-27,Nancy Davolio,72,mozzarella di giovanni,14,formaggi fortini s.r.l.,27.8,21,583.8,46.7,630.5,12,2023,Wednesday
10400,11,2024-01-01,Nancy Davolio,29,thringer rostbratwurst,12,plutzer lebensmittelgromrkte ag,99.0,21,2079.0,166.32,2245.32,1,2024,Monday
10401,7,2024-01-01,Nancy Davolio,30,nord-ost matjeshering,13,nord-ost-fisch handelsgesellschaft mbh,20.7,18,372.6,29.81,402.41,1,2024,Monday
10401,7,2024-01-01,Nancy Davolio,65,louisiana fiery hot pepper sauce,2,new orleans cajun delights,16.8,20,336.0,26.88,362.88,1,2024,Monday
10453,20,2024-02-21,Nancy Davolio,48,chocolade,22,zaanse snoepfabriek,10.2,15,153.0,12.24,165.24,2,2024,Wednesday
10465,21,2024-03-05,Nancy Davolio,29,thringer rostbratwurst,12,plutzer lebensmittelgromrkte ag,99.0,18,1782.0,142.56,1924.56,3,2024,Tuesday
10465,21,2024-03-05,Nancy Davolio,40,boston crab meat,19,new england seafood cannery,14.7,20,294.0,23.52,317.52,3,2024,Tuesday
10469,22,2024-03-10,Nancy Davolio,44,gula malacca,20,leka trading,15.5,2,31.0,2.48,33.48,3,2024,Sunday
10473,23,2024-03-13,Nancy Davolio,33,geitost,15,norske meierier,2.0,12,24.0,1.92,25.92,3,2024,Wednesday
10473,23,2024-03-13,Nancy Davolio,71,flotemysost,15,norske meierier,17.2,12,206.4,16.51,222.91,3,2024,Wednesday
10482,24,2024-03-21,Nancy Davolio,40,boston crab meat,19,new england seafood cannery,14.7,10,147.0,11.76,158.76,3,2024,Thursday
10486,25,2024-03-26,Nancy Davolio,11,queso cabrales,5,cooperativa de quesos 'las cabras',16.8,5,84.0,6.72,90.72,3,2024,Tuesday
10486,25,2024-03-26,Nancy Davolio,74,longlife tofu,4,tokyo traders,8.0,16,128.0,10.24,138.24,3,2024,Tuesday
10508,26,2024-04-16,Nancy Davolio,13,konbu,6,mayumi's,6.0,10,60.0,4.8,64.8,4,2024,Tuesday
10508,26,2024-04-16,Nancy Davolio,39,chartreuse verte,18,aux joyeux ecclsiastiques,18.0,10,180.0,14.4,194.4,4,2024,Tuesday
10524,27,2024-05-01,Nancy Davolio,10,ikura,4,tokyo traders,31.0,2,62.0,4.96,66.96,5,2024,Wednesday
10524,27,2024-05-01,Nancy Davolio,30,nord-ost matjeshering,13,nord-ost-fisch handelsgesellschaft mbh,25.89,10,258.9,20.71,279.61,5,2024,Wednesday
10524,27,2024-05-01,Nancy Davolio,54,tourtire,25,ma maison,7.45,15,111.75,8.94,120.69,5,2024,Wednesday
10525,9,2024-05-02,Nancy Davolio,40,boston crab meat,19,new england seafood cannery,18.4,15,276.0,22.08,298.08,5,2024,Thursday
10537,28,2024-05-14,Nancy Davolio,51,manjimup dried apples,24,"g'day, mate",53.0,6,318.0,25.44,343.44,5,2024,Tuesday
10537,28,2024-05-14,Nancy Davolio,58,escargots de bourgogne,27,escargots nouveaux,13.25,20,265.0,21.2,286.2,5,2024,Tuesday
10537,28,2024-05-14,Nancy Davolio,72,mozzarella di giovanni,14,formaggi fortini s.r.l.,34.8,21,730.8,58.46,789.26,5,2024,Tuesday
10537,28,2024-05-14,Nancy Davolio,73,rd kaviar,17,svensk sjfda ab,15.0,9,135.0,10.8,145.8,5,2024,Tuesday
10542,8,2024-05-20,Nancy Davolio,11,queso cabrales,5,cooperativa de quesos 'las cabras',21.0,15,315.0,25.2,340.2,5,2024,Monday
10542,8,2024-05-20,Nancy Davolio,54,tourtire,25,ma maison,7.45,24,178.8,14.3,193.1,5,2024,Monday
10546,29,2024-05-23,Nancy Davolio,7,uncle bob's organic dried pears,3,grandma kelly's homestead,30.0,10,300.0,24.0,324.0,5,2024,Thursday
10558,20,2024-06-04,Nancy Davolio,51,manjimup dried apples,24,"g'day, mate",53.0,20,1060.0,84.8,1144.8,6,2024,Tuesday
10558,20,2024-06-04,Nancy Davolio,53,perth pasties,24,"g'day, mate",32.8,18,590.4,47.23,637.63,6,2024,Tuesday
10558,20,2024-06-04,Nancy Davolio,73,rd kaviar,17,svensk sjfda ab,15.0,3,45.0,3.6,48.6,6,2024,Tuesday
10562,30,2024-06-09,Nancy Davolio,33,geitost,15,norske meierier,2.5,20,50.0,4.0,54.0,6,2024,Sunday
10562,30,2024-06-09,Nancy Davolio,62,tarte au sucre,29,forts d'rables,49.3,10,493.0,39.44,532.44,6,2024,Sunday
10567,31,2024-06-12,Nancy Davolio,51,manjimup dried apples,24,"g'day, mate",53.0,3,159.0,12.72,171.72,6,2024,Wednesday
10579,32,2024-06-25,Nancy Davolio,15,genen shouyu,6,mayumi's,15.5,10,155.0,12.4,167.4,6,2024,Tuesday
10579,32,2024-06-25,Nancy Davolio,75,rhnbru klosterbier,12,plutzer lebensmittelgromrkte ag,7.75,21,162.75,13.02,175.77,6,2024,Tuesday
10587,33,2024-07-02,Nancy Davolio,26,gumbr gummibrchen,11,heli swaren gmbh & co. kg,31.23,6,187.38,14.99,202.37,7,2024,Tuesday
10587,33,2024-07-02,Nancy Davolio,35,steeleye stout,16,bigfoot breweries,18.0,20,360.0,28.8,388.8,7,2024,Tuesday
10587,33,2024-07-02,Nancy Davolio,77,original frankfurter grne soe,12,plutzer lebensmittelgromrkte ag,13.0,20,260.0,20.8,280.8,7,2024,Tuesday
10591,21,2024-07-07,Nancy Davolio,3,aniseed syrup,1,exotic liquids,10.0,14,140.0,11.2,151.2,7,2024,Sunday
10591,21,2024-07-07,Nancy Davolio,7,uncle bob's organic dried pears,3,grandma kelly's homestead,30.0,10,300.0,24.0,324.0,7,2024,Sunday
10598,7,2024-07-14,Nancy Davolio,71,flotemysost,15,norske meierier,21.5,9,193.5,15.48,208.98,7,2024,Sunday
10604,34,2024-07-18,Nancy Davolio,48,chocolade,22,zaanse snoepfabriek,12.75,6,76.5,6.12,82.62,7,2024,Thursday
10604,34,2024-07-18,Nancy Davolio,76,lakkalikri,23,karkki oy,18.0,10,180.0,14.4,194.4,7,2024,Thursday
10605,35,2024-07-21,Nancy Davolio,59,raclette courdavault,28,gai pturage,55.0,20,1100.0,88.0,1188.0,7,2024,Sunday
10605,35,2024-07-21,Nancy Davolio,71,flotemysost,15,norske meierier,21.5,15,322.5,25.8,348.3,7,2024,Sunday
10612,17,2024-07-28,Nancy Davolio,49,maxilaku,23,karkki oy,20.0,18,360.0,28.8,388.8,7,2024,Sunday
10616,36,2024-07-31,Nancy Davolio,38,cte de blaye,18,aux joyeux ecclsiastiques,263.5,15,3952.5,316.2,4268.7,7,2024,Wednesday
10616,36,2024-07-31,Nancy Davolio,56,gnocchi di nonna alice,26,pasta buttini s.r.l.,38.0,14,532.0,42.56,574.56,7,2024,Wednesday
10616,36,2024-07-31,Nancy Davolio,70,outback lager,7,"pavlova, ltd.",15.0,15,225.0,18.0,243.0,7,2024,Wednesday
10616,36,2024-07-31,Nancy Davolio,71,flotemysost,15,norske meierier,21.5,15,322.5,25.8,348.3,7,2024,Wednesday
10618,35,2024-08-01,Nancy Davolio,56,gnocchi di nonna alice,26,pasta buttini s.r.l.,38.0,20,760.0,60.8,820.8,8,2024,Thursday
10618,35,2024-08-01,Nancy Davolio,68,scottish longbreads,8,"specialty biscuits, ltd.",12.5,15,187.5,15.0,202.5,8,2024,Thursday
10626,27,2024-08-11,Nancy Davolio,53,perth pasties,24,"g'day, mate",32.8,12,393.6,31.49,425.09,8,2024,Sunday
10626,27,2024-08-11,Nancy Davolio,60,camembert pierrot,28,gai pturage,34.0,20,680.0,54.4,734.4,8,2024,Sunday
10626,27,2024-08-11,Nancy Davolio,71,flotemysost,15,norske meierier,21.5,20,430.0,34.4,464.4,8,2024,Sunday
10630,8,2024-08-13,Nancy Davolio,55,pt chinois,25,ma maison,24.0,12,288.0,23.04,311.04,8,2024,Tuesday
10653,19,2024-09-02,Nancy Davolio,60,camembert pierrot,28,gai pturage,34.0,20,680.0,54.4,734.4,9,2024,Monday
10655,30,2024-09-03,Nancy Davolio,41,jack's new england clam chowder,19,new england seafood cannery,9.65,20,193.0,15.44,208.44,9,2024,Tuesday
10664,34,2024-09-10,Nancy Davolio,10,ikura,4,tokyo traders,31.0,24,744.0,59.52,803.52,9,2024,Tuesday
10664,34,2024-09-10,Nancy Davolio,56,gnocchi di nonna alice,26,pasta buttini s.r.l.,38.0,12,456.0,36.48,492.48,9,2024,Tuesday
10664,34,2024-09-10,Nancy Davolio,65,louisiana fiery hot pepper sauce,2,new orleans cajun delights,21.05,15,315.75,25.26,341.01,9,2024,Tuesday
10665,37,2024-09-11,Nancy Davolio,51,manjimup dried apples,24,"g'day, mate",53.0,20,1060.0,84.8,1144.8,9,2024,Wednesday
10665,37,2024-09-11,Nancy Davolio,59,raclette courdavault,28,gai pturage,55.0,1,55.0,4.4,59.4,9,2024,Wednesday
10665,37,2024-09-11,Nancy Davolio,76,lakkalikri,23,karkki oy,18.0,10,180.0,14.4,194.4,9,2024,Wednesday
10668,38,2024-09-15,Nancy Davolio,31,gorgonzola telino,14,formaggi fortini s.r.l.,12.5,8,100.0,8.0,108.0,9,2024,Sunday
10668,38,2024-09-15,Nancy Davolio,55,pt chinois,25,ma maison,24.0,4,96.0,7.68,103.68,9,2024,Sunday
10668,38,2024-09-15,Nancy Davolio,64,wimmers gute semmelkndel,12,plutzer lebensmittelgromrkte ag,33.25,15,498.75,39.9,538.65,9,2024,Sunday
10671,39,2024-09-17,Nancy Davolio,16,pavlova,7,"pavlova, ltd.",17.45,10,174.5,13.96,188.46,9,2024,Tuesday
10671,39,2024-09-17,Nancy Davolio,62,tarte au sucre,29,forts d'rables,49.3,10,493.0,39.44,532.44,9,2024,Tuesday
10671,39,2024-09-17,Nancy Davolio,65,louisiana fiery hot pepper sauce,2,new orleans cajun delights,21.05,12,252.6,20.21,272.81,9,2024,Tuesday
10677,40,2024-09-22,Nancy Davolio,33,geitost,15,norske meierier,2.5,8,20.0,1.6,21.6,9,2024,Sunday
10680,41,2024-09-24,Nancy Davolio,31,gorgonzola telino,14,formaggi fortini s.r.l.,12.5,20,250.0,20.0,270.0,9,2024,Tuesday
10690,42,2024-10-02,Nancy Davolio,56,gnocchi di nonna alice,26,pasta buttini s.r.l.,38.0,20,760.0,60.8,820.8,10,2024,Wednesday
10709,43,2024-10-17,Nancy Davolio,60,camembert pierrot,28,gai pturage,34.0,10,340.0,27.2,367.2,10,2024,Thursday
10710,44,2024-10-20,Nancy Davolio,19,teatime chocolate biscuits,8,"specialty biscuits, ltd.",9.2,5,46.0,3.68,49.68,10,2024,Sunday
10710,44,2024-10-20,Nancy Davolio,47,zaanse koeken,22,zaanse snoepfabriek,9.5,5,47.5,3.8,51.3,10,2024,Sunday
10713,17,2024-10-22,Nancy Davolio,10,ikura,4,tokyo traders,31.0,18,558.0,44.64,602.64,10,2024,Tuesday
10713,17,2024-10-22,Nancy Davolio,46,spegesild,21,lyngbysild,12.0,24,288.0,23.04,311.04,10,2024,Tuesday
10717,19,2024-10-24,Nancy Davolio,54,tourtire,25,ma maison,7.45,15,111.75,8.94,120.69,10,2024,Thursday
10718,8,2024-10-27,Nancy Davolio,16,pavlova,7,"pavlova, ltd.",17.45,20,349.0,27.92,376.92,10,2024,Sunday
10718,8,2024-10-27,Nancy Davolio,62,tarte au sucre,29,forts d'rables,49.3,20,986.0,78.88,1064.88,10,2024,Sunday
10733,27,2024-11-07,Nancy Davolio,14,tofu,6,mayumi's,23.25,16,372.0,29.76,401.76,11,2024,Thursday
10733,27,2024-11-07,Nancy Davolio,28,rssle sauerkraut,12,plutzer lebensmittelgromrkte ag,45.6,20,912.0,72.96,984.96,11,2024,Thursday
10746,45,2024-11-19,Nancy Davolio,13,konbu,6,mayumi's,6.0,6,36.0,2.88,38.88,11,2024,Tuesday
10746,45,2024-11-19,Nancy Davolio,62,tarte au sucre,29,forts d'rables,49.3,9,443.7,35.5,479.2,11,2024,Tuesday
10773,1,2024-12-11,Nancy Davolio,75,rhnbru klosterbier,12,plutzer lebensmittelgromrkte ag,7.75,7,54.25,4.34,58.59,12,2024,Wednesday
10776,1,2024-12-15,Nancy Davolio,31,gorgonzola telino,14,formaggi fortini s.r.l.,12.5,16,200.0,16.0,216.0,12,2024,Sunday
10776,1,2024-12-15,Nancy Davolio,42,singaporean hokkien fried mee,20,leka trading,14.0,12,168.0,13.44,181.44,12,2024,Sunday
10785,46,2024-12-18,Nancy Davolio,10,ikura,4,tokyo traders,31.0,10,310.0,24.8,334.8,12,2024,Wednesday
10785,46,2024-12-18,Nancy Davolio,75,rhnbru klosterbier,12,plutzer lebensmittelgromrkte ag,7.75,10,77.5,6.2,83.7,12,2024,Wednesday
10789,47,2024-12-22,Nancy Davolio,35,steeleye stout,16,bigfoot breweries,18.0,15,270.0,21.6,291.6,12,2024,Sunday
10789,47,2024-12-22,Nancy Davolio,68,scottish longbreads,8,"specialty biscuits, ltd.",12.5,18,225.0,18.0,243.0,12,2024,Sunday
10792,13,2024-12-23,Nancy Davolio,2,chang,1,exotic liquids,19.0,10,190.0,15.2,205.2,12,2024,Monday
10792,13,2024-12-23,Nancy Davolio,54,tourtire,25,ma maison,7.45,3,22.35,1.79,24.14,12,2024,Monday
10792,13,2024-12-23,Nancy Davolio,68,scottish longbreads,8,"specialty biscuits, ltd.",12.5,15,187.5,15.0,202.5,12,2024,Monday
10800,14,2024-12-26,Nancy Davolio,51,manjimup dried apples,24,"g'day, mate",53.0,10,530.0,42.4,572.4,12,2024,Thursday
10800,14,2024-12-26,Nancy Davolio,54,tourtire,25,ma maison,7.45,7,52.15,4.17,56.32,12,2024,Thursday
10813,48,2025-01-05,Nancy Davolio,2,chang,1,exotic liquids,19.0,12,228.0,18.24,246.24,1,2025,Sunday
10821,15,2025-01-08,Nancy Davolio,35,steeleye stout,16,bigfoot breweries,18.0,20,360.0,28.8,388.8,1,2025,Wednesday
10821,15,2025-01-08,Nancy Davolio,51,manjimup dried apples,24,"g'day, mate",53.0,6,318.0,25.44,343.44,1,2025,Wednesday
10825,49,2025-01-09,Nancy Davolio,26,gumbr gummibrchen,11,heli swaren gmbh & co. kg,31.23,12,374.76,29.98,404.74,1,2025,Thursday
10825,49,2025-01-09,Nancy Davolio,53,perth pasties,24,"g'day, mate",32.8,20,656.0,52.48,708.48,1,2025,Thursday
10827,9,2025-01-12,Nancy Davolio,10,ikura,4,tokyo traders,31.0,15,465.0,37.2,502.2,1,2025,Sunday
10827,9,2025-01-12,Nancy Davolio,39,chartreuse verte,18,aux joyeux ecclsiastiques,18.0,21,378.0,30.24,408.24,1,2025,Sunday
10834,3,2025-01-15,Nancy Davolio,29,thringer rostbratwurst,12,plutzer lebensmittelgromrkte ag,123.79,8,990.32,79.23,1069.55,1,2025,Wednesday
10834,3,2025-01-15,Nancy Davolio,30,nord-ost matjeshering,13,nord-ost-fisch handelsgesellschaft mbh,25.89,20,517.8,41.42,559.22,1,2025,Wednesday
10835,50,2025-01-15,Nancy Davolio,59,raclette courdavault,28,gai pturage,55.0,15,825.0,66.0,891.0,1,2025,Wednesday
10835,50,2025-01-15,Nancy Davolio,77,original frankfurter grne soe,12,plutzer lebensmittelgromrkte ag,13.0,2,26.0,2.08,28.08,1,2025,Wednesday
10842,4,2025-01-20,Nancy Davolio,11,queso cabrales,5,cooperativa de quesos 'las cabras',21.0,15,315.0,25.2,340.2,1,2025,Monday
10842,4,2025-01-20,Nancy Davolio,43,ipoh coffee,20,leka trading,46.0,5,230.0,18.4,248.4,1,2025,Monday
10842,4,2025-01-20,Nancy Davolio,68,scottish longbreads,8,"specialty biscuits, ltd.",12.5,20,250.0,20.0,270.0,1,2025,Monday
10842,4,2025-01-20,Nancy Davolio,70,outback lager,7,"pavlova, ltd.",15.0,12,180.0,14.4,194.4,1,2025,Monday
10850,29,2025-01-23,Nancy Davolio,25,nunuca nu-nougat-creme,11,heli swaren gmbh & co. kg,14.0,20,280.0,22.4,302.4,1,2025,Thursday
10850,29,2025-01-23,Nancy Davolio,33,geitost,15,norske meierier,2.5,4,10.0,0.8,10.8,1,2025,Thursday
10888,51,2025-02-16,Nancy Davolio,2,chang,1,exotic liquids,19.0,20,380.0,30.4,410.4,2,2025,Sunday
10888,51,2025-02-16,Nancy Davolio,68,scottish longbreads,8,"specialty biscuits, ltd.",12.5,18,225.0,18.0,243.0,2,2025,Sunday
10900,52,2025-02-20,Nancy Davolio,70,outback lager,7,"pavlova, ltd.",15.0,3,45.0,3.6,48.6,2,2025,Thursday
10902,53,2025-02-23,Nancy Davolio,62,tarte au sucre,29,forts d'rables,49.3,6,295.8,23.66,319.46,2,2025,Sunday
10909,16,2025-02-26,Nancy Davolio,7,uncle bob's organic dried pears,3,grandma kelly's homestead,30.0,12,360.0,28.8,388.8,2,2025,Wednesday
10909,16,2025-02-26,Nancy Davolio,16,pavlova,7,"pavlova, ltd.",17.45,15,261.75,20.94,282.69,2,2025,Wednesday
10909,16,2025-02-26,Nancy Davolio,41,jack's new england clam chowder,19,new england seafood cannery,9.65,5,48.25,3.86,52.11,2,2025,Wednesday
10910,54,2025-02-26,Nancy Davolio,19,teatime chocolate biscuits,8,"specialty biscuits, ltd.",9.2,12,110.4,8.83,119.23,2,2025,Wednesday
10910,54,2025-02-26,Nancy Davolio,49,maxilaku,23,karkki oy,20.0,10,200.0,16.0,216.0,2,2025,Wednesday
10910,54,2025-02-26,Nancy Davolio,61,sirop d'rable,29,forts d'rables,28.5,5,142.5,11.4,153.9,2,2025,Wednesday
10916,55,2025-02-27,Nancy Davolio,16,pavlova,7,"pavlova, ltd.",17.45,6,104.7,8.38,113.08,2,2025,Thursday
10916,55,2025-02-27,Nancy Davolio,32,mascarpone fabioli,14,formaggi fortini s.r.l.,32.0,6,192.0,15.36,207.36,2,2025,Thursday
10916,55,2025-02-27,Nancy Davolio,57,ravioli angelo,26,pasta buttini s.r.l.,19.5,20,390.0,31.2,421.2,2,2025,Thursday
10921,21,2025-03-03,Nancy Davolio,35,steeleye stout,16,bigfoot breweries,18.0,10,180.0,14.4,194.4,3,2025,Monday
10928,56,2025-03-05,Nancy Davolio,47,zaanse koeken,22,zaanse snoepfabriek,9.5,5,47.5,3.8,51.3,3,2025,Wednesday
10928,56,2025-03-05,Nancy Davolio,76,lakkalikri,23,karkki oy,18.0,5,90.0,7.2,97.2,3,2025,Wednesday
10950,2,2025-03-16,Nancy Davolio,4,chef anton's cajun seasoning,2,new orleans cajun delights,22.0,5,110.0,8.8,118.8,3,2025,Sunday
10952,50,2025-03-16,Nancy Davolio,6,grandma's boysenberry spread,3,grandma kelly's homestead,25.0,16,400.0,32.0,432.0,3,2025,Sunday
10952,50,2025-03-16,Nancy Davolio,28,rssle sauerkraut,12,plutzer lebensmittelgromrkte ag,45.6,2,91.2,7.3,98.5,3,2025,Sunday
10968,1,2025-03-23,Nancy Davolio,64,wimmers gute semmelkndel,12,plutzer lebensmittelgromrkte ag,33.25,4,133.0,10.64,143.64,3,2025,Sunday
10969,57,2025-03-23,Nancy Davolio,46,spegesild,21,lyngbysild,12.0,9,108.0,8.64,116.64,3,2025,Sunday
10975,58,2025-03-25,Nancy Davolio,8,northwoods cranberry sauce,3,grandma kelly's homestead,40.0,16,640.0,51.2,691.2,3,2025,Tuesday
10975,58,2025-03-25,Nancy Davolio,75,rhnbru klosterbier,12,plutzer lebensmittelgromrkte ag,7.75,10,77.5,6.2,83.7,3,2025,Tuesday
10976,25,2025-03-25,Nancy Davolio,28,rssle sauerkraut,12,plutzer lebensmittelgromrkte ag,45.6,20,912.0,72.96,984.96,3,2025,Tuesday
10984,17,2025-03-30,Nancy Davolio,24,guaran fantstica,10,refrescos americanas ltda,4.5,20,90.0,7.2,97.2,3,2025,Sunday
10991,59,2025-04-01,Nancy Davolio,70,outback lager,7,"pavlova, ltd.",15.0,20,300.0,24.0,324.0,4,2025,Tuesday
10992,60,2025-04-01,Nancy Davolio,72,mozzarella di giovanni,14,formaggi fortini s.r.l.,34.8,2,69.6,5.57,75.17,4,2025,Tuesday
10995,61,2025-04-02,Nancy Davolio,51,manjimup dried apples,24,"g'day, mate",53.0,20,1060.0,84.8,1144.8,4,2025,Wednesday
10995,61,2025-04-02,Nancy Davolio,60,camembert pierrot,28,gai pturage,34.0,4,136.0,10.88,146.88,4,2025,Wednesday
11023,62,2025-04-14,Nancy Davolio,7,uncle bob's organic dried pears,3,grandma kelly's homestead,30.0,4,120.0,9.6,129.6,4,2025,Monday
11027,58,2025-04-16,Nancy Davolio,62,tarte au sucre,29,forts d'rables,49.3,21,1035.3,82.82,1118.12,4,2025,Wednesday
11038,63,2025-04-21,Nancy Davolio,40,boston crab meat,19,new england seafood cannery,18.4,5,92.0,7.36,99.36,4,2025,Monday
11038,63,2025-04-21,Nancy Davolio,52,filo mix,24,"g'day, mate",7.0,2,14.0,1.12,15.12,4,2025,Monday
11039,64,2025-04-21,Nancy Davolio,28,rssle sauerkraut,12,plutzer lebensmittelgromrkte ag,45.6,20,912.0,72.96,984.96,4,2025,Monday
11039,64,2025-04-21,Nancy Davolio,35,steeleye stout,16,bigfoot breweries,18.0,24,432.0,34.56,466.56,4,2025,Monday
11064,17,2025-05-01,Nancy Davolio,41,jack's new england clam chowder,19,new england seafood cannery,9.65,12,115.8,9.26,125.06,5,2025,Thursday
11064,17,2025-05-01,Nancy Davolio,55,pt chinois,25,ma maison,24.0,4,96.0,7.68,103.68,5,2025,Thursday
