TransactionID,CustID,Date,Employee,ProductID,ProductName,VendorID,ProductVendor,UnitPrice,Quantity,Subtotal,Tax(8%),OrderTotal
10393,17,12/25/2023,Nancy Davolio,25,NuNuCa Nu-Nougat-Creme,11,Heli Swaren GmbH & Co. KG,11.2,7,78.4,6.27,84.67
10394,18,12/25/2023,Nancy Davolio,13,Konbu,6,Mayumi's,4.8,10,48,3.84,51.84
10394,18,12/25/2023,Nancy Davolio,62,Tarte au sucre,29,Forts d'rables,39.4,10,394,31.52,425.52
10396,19,12/27/2023,Nancy Davolio,72,Mozzarella di Giovanni,14,Formaggi Fortini s.r.l.,27.8,21,583.8,46.7,630.5
10400,11,1/1/2024,Nancy Davolio,29,Thringer Rostbratwurst,12,Plutzer Lebensmittelgromrkte AG,99,21,2079,166.32,2245.32
10401,7,1/1/2024,Nancy Davolio,30,Nord-Ost Matjeshering,13,Nord-Ost-Fisch Handelsgesellschaft mbH,20.7,18,372.6,29.81,402.41
10401,7,1/1/2024,Nancy Davolio,65,Louisiana Fiery Hot Pepper Sauce,2,New Orleans Cajun Delights,16.8,20,336,26.88,362.88
10453,20,2/21/2024,Nancy Davolio,48,Chocolade,22,Zaanse Snoepfabriek,10.2,15,153,12.24,165.24
10465,21,3/5/2024,Nancy Davolio,29,Thringer Rostbratwurst,12,Plutzer Lebensmittelgromrkte AG,99,18,1782,142.56,1924.56
10465,21,3/5/2024,Nancy Davolio,40,Boston Crab Meat,19,New England Seafood Cannery,14.7,20,294,23.52,317.52
10469,22,3/10/2024,Nancy Davolio,44,Gula Malacca,20,Leka Trading,15.5,2,31,2.48,33.48
10473,23,3/13/2024,Nancy Davolio,33,Geitost,15,Norske Meierier,2,12,24,1.92,25.92
10473,23,3/13/2024,Nancy Davolio,71,Flotemysost,15,Norske Meierier,17.2,12,206.4,16.51,222.91
10482,24,3/21/2024,Nancy Davolio,40,Boston Crab Meat,19,New England Seafood Cannery,14.7,10,147,11.76,158.76
10486,25,3/26/2024,Nancy Davolio,11,Queso Cabrales,5,Cooperativa de Quesos 'Las Cabras',16.8,5,84,6.72,90.72
10486,25,3/26/2024,Nancy Davolio,74,Longlife Tofu,4,Tokyo Traders,8,16,128,10.24,138.24
10508,26,4/16/2024,Nancy Davolio,13,Konbu,6,Mayumi's,6,10,60,4.8,64.8
10508,26,4/16/2024,Nancy Davolio,39,Chartreuse verte,18,Aux joyeux ecclsiastiques,18,10,180,14.4,194.4
10524,27,5/1/2024,Nancy Davolio,10,Ikura,4,Tokyo Traders,31,2,62,4.96,66.96
10524,27,5/1/2024,Nancy Davolio,30,Nord-Ost Matjeshering,13,Nord-Ost-Fisch Handelsgesellschaft mbH,25.89,10,258.9,20.71,279.61
10524,27,5/1/2024,Nancy Davolio,54,Tourtire,25,Ma Maison,7.45,15,111.75,8.94,120.69
10525,9,5/2/2024,Nancy Davolio,40,Boston Crab Meat,19,New England Seafood Cannery,18.4,15,276,22.08,298.08
10537,28,5/14/2024,Nancy Davolio,51,Manjimup Dried Apples,24,"G'day, Mate",53,6,318,25.44,343.44
10537,28,5/14/2024,Nancy Davolio,58,Escargots de Bourgogne,27,Escargots Nouveaux,13.25,20,265,21.2,286.2
10537,28,5/14/2024,Nancy Davolio,72,Mozzarella di Giovanni,14,Formaggi Fortini s.r.l.,34.8,21,730.8,58.46,789.26
10537,28,5/14/2024,Nancy Davolio,73,Rd Kaviar,17,Svensk Sjfda AB,15,9,135,10.8,145.8
10542,8,5/20/2024,Nancy Davolio,11,Queso Cabrales,5,Cooperativa de Quesos 'Las Cabras',21,15,315,25.2,340.2
10542,8,5/20/2024,Nancy Davolio,54,Tourtire,25,Ma Maison,7.45,24,178.8,14.3,193.1
10546,29,5/23/2024,Nancy Davolio,7,Uncle Bob's Organic Dried Pears,3,Grandma Kelly's Homestead,30,10,300,24,324
10558,20,6/4/2024,Nancy Davolio,51,Manjimup Dried Apples,24,"G'day, Mate",53,20,1060,84.8,1144.8
10558,20,6/4/2024,Nancy Davolio,53,Perth Pasties,24,"G'day, Mate",32.8,18,590.4,47.23,637.63
10558,20,6/4/2024,Nancy Davolio,73,Rd Kaviar,17,Svensk Sjfda AB,15,3,45,3.6,48.6
10562,30,6/9/2024,Nancy Davolio,33,Geitost,15,Norske Meierier,2.5,20,50,4,54
10562,30,6/9/2024,Nancy Davolio,62,Tarte au sucre,29,Forts d'rables,49.3,10,493,39.44,532.44
10567,31,6/12/2024,Nancy Davolio,51,Manjimup Dried Apples,24,"G'day, Mate",53,3,159,12.72,171.72
10579,32,6/25/2024,Nancy Davolio,15,Genen Shouyu,6,Mayumi's,15.5,10,155,12.4,167.4
10579,32,6/25/2024,Nancy Davolio,75,Rhnbru Klosterbier,12,Plutzer Lebensmittelgromrkte AG,7.75,21,162.75,13.02,175.77
10587,33,7/2/2024,Nancy Davolio,26,Gumbr Gummibrchen,11,Heli Swaren GmbH & Co. KG,31.23,6,187.38,14.99,202.37
10587,33,7/2/2024,Nancy Davolio,35,Steeleye Stout,16,Bigfoot Breweries,18,20,360,28.8,388.8
10587,33,7/2/2024,Nancy Davolio,77,Original Frankfurter grne Soe,12,Plutzer Lebensmittelgromrkte AG,13,20,260,20.8,280.8
10591,21,7/7/2024,Nancy Davolio,3,Aniseed Syrup,1,Exotic Liquids,10,14,140,11.2,151.2
10591,21,7/7/2024,Nancy Davolio,7,Uncle Bob's Organic Dried Pears,3,Grandma Kelly's Homestead,30,10,300,24,324
10598,7,7/14/2024,Nancy Davolio,71,Flotemysost,15,Norske Meierier,21.5,9,193.5,15.48,208.98
10604,34,7/18/2024,Nancy Davolio,48,Chocolade,22,Zaanse Snoepfabriek,12.75,6,76.5,6.12,82.62
10604,34,7/18/2024,Nancy Davolio,76,Lakkalikri,23,Karkki Oy,18,10,180,14.4,194.4
10605,35,7/21/2024,Nancy Davolio,59,Raclette Courdavault,28,Gai pturage,55,20,1100,88,1188
10605,35,7/21/2024,Nancy Davolio,71,Flotemysost,15,Norske Meierier,21.5,15,322.5,25.8,348.3
10612,17,7/28/2024,Nancy Davolio,49,Maxilaku,23,Karkki Oy,20,18,360,28.8,388.8
10616,36,7/31/2024,Nancy Davolio,38,Cte de Blaye,18,Aux joyeux ecclsiastiques,263.5,15,3952.5,316.2,4268.7
10616,36,7/31/2024,Nancy Davolio,56,Gnocchi di nonna Alice,26,Pasta Buttini s.r.l.,38,14,532,42.56,574.56
10616,36,7/31/2024,Nancy Davolio,70,Outback Lager,7,"Pavlova, Ltd.",15,15,225,18,243
10616,36,7/31/2024,Nancy Davolio,71,Flotemysost,15,Norske Meierier,21.5,15,322.5,25.8,348.3
10618,35,8/1/2024,Nancy Davolio,56,Gnocchi di nonna Alice,26,Pasta Buttini s.r.l.,38,20,760,60.8,820.8
10618,35,8/1/2024,Nancy Davolio,68,Scottish Longbreads,8,"Specialty Biscuits, Ltd.",12.5,15,187.5,15,202.5
10626,27,8/11/2024,Nancy Davolio,53,Perth Pasties,24,"G'day, Mate",32.8,12,393.6,31.49,425.09
10626,27,8/11/2024,Nancy Davolio,60,Camembert Pierrot,28,Gai pturage,34,20,680,54.4,734.4
10626,27,8/11/2024,Nancy Davolio,71,Flotemysost,15,Norske Meierier,21.5,20,430,34.4,464.4
10630,8,8/13/2024,Nancy Davolio,55,Pt chinois,25,Ma Maison,24,12,288,23.04,311.04
10653,19,9/2/2024,Nancy Davolio,60,Camembert Pierrot,28,Gai pturage,34,20,680,54.4,734.4
10655,30,9/3/2024,Nancy Davolio,41,Jack's New England Clam Chowder,19,New England Seafood Cannery,9.65,20,193,15.44,208.44
10664,34,9/10/2024,Nancy Davolio,10,Ikura,4,Tokyo Traders,31,24,744,59.52,803.52
10664,34,9/10/2024,Nancy Davolio,56,Gnocchi di nonna Alice,26,Pasta Buttini s.r.l.,38,12,456,36.48,492.48
10664,34,9/10/2024,Nancy Davolio,65,Louisiana Fiery Hot Pepper Sauce,2,New Orleans Cajun Delights,21.05,15,315.75,25.26,341.01
10665,37,9/11/2024,Nancy Davolio,51,Manjimup Dried Apples,24,"G'day, Mate",53,20,1060,84.8,1144.8
10665,37,9/11/2024,Nancy Davolio,59,Raclette Courdavault,28,Gai pturage,55,1,55,4.4,59.4
10665,37,9/11/2024,Nancy Davolio,76,Lakkalikri,23,Karkki Oy,18,10,180,14.4,194.4
10668,38,9/15/2024,Nancy Davolio,31,Gorgonzola Telino,14,Formaggi Fortini s.r.l.,12.5,8,100,8,108
10668,38,9/15/2024,Nancy Davolio,55,Pt chinois,25,Ma Maison,24,4,96,7.68,103.68
10668,38,9/15/2024,Nancy Davolio,64,Wimmers gute Semmelkndel,12,Plutzer Lebensmittelgromrkte AG,33.25,15,498.75,39.9,538.65
10671,39,9/17/2024,Nancy Davolio,16,Pavlova,7,"Pavlova, Ltd.",17.45,10,174.5,13.96,188.46
10671,39,9/17/2024,Nancy Davolio,62,Tarte au sucre,29,Forts d'rables,49.3,10,493,39.44,532.44
10671,39,9/17/2024,Nancy Davolio,65,Louisiana Fiery Hot Pepper Sauce,2,New Orleans Cajun Delights,21.05,12,252.6,20.21,272.81
10677,40,9/22/2024,Nancy Davolio,33,Geitost,15,Norske Meierier,2.5,8,20,1.6,21.6
10680,41,9/24/2024,Nancy Davolio,31,Gorgonzola Telino,14,Formaggi Fortini s.r.l.,12.5,20,250,20,270
10690,42,10/2/2024,Nancy Davolio,56,Gnocchi di nonna Alice,26,Pasta Buttini s.r.l.,38,20,760,60.8,820.8
10709,43,10/17/2024,Nancy Davolio,60,Camembert Pierrot,28,Gai pturage,34,10,340,27.2,367.2
10710,44,10/20/2024,Nancy Davolio,19,Teatime Chocolate Biscuits,8,"Specialty Biscuits, Ltd.",9.2,5,46,3.68,49.68
10710,44,10/20/2024,Nancy Davolio,47,Zaanse koeken,22,Zaanse Snoepfabriek,9.5,5,47.5,3.8,51.3
10713,17,10/22/2024,Nancy Davolio,10,Ikura,4,Tokyo Traders,31,18,558,44.64,602.64
10713,17,10/22/2024,Nancy Davolio,46,Spegesild,21,Lyngbysild,12,24,288,23.04,311.04
10717,19,10/24/2024,Nancy Davolio,54,Tourtire,25,Ma Maison,7.45,15,111.75,8.94,120.69
10718,8,10/27/2024,Nancy Davolio,16,Pavlova,7,"Pavlova, Ltd.",17.45,20,349,27.92,376.92
10718,8,10/27/2024,Nancy Davolio,62,Tarte au sucre,29,Forts d'rables,49.3,20,986,78.88,1064.88
10733,27,11/7/2024,Nancy Davolio,14,Tofu,6,Mayumi's,23.25,16,372,29.76,401.76
10733,27,11/7/2024,Nancy Davolio,28,Rssle Sauerkraut,12,Plutzer Lebensmittelgromrkte AG,45.6,20,912,72.96,984.96
10746,45,11/19/2024,Nancy Davolio,13,Konbu,6,Mayumi's,6,6,36,2.88,38.88
10746,45,11/19/2024,Nancy Davolio,62,Tarte au sucre,29,Forts d'rables,49.3,9,443.7,35.5,479.2
10773,1,12/11/2024,Nancy Davolio,75,Rhnbru Klosterbier,12,Plutzer Lebensmittelgromrkte AG,7.75,7,54.25,4.34,58.59
10776,1,12/15/2024,Nancy Davolio,31,Gorgonzola Telino,14,Formaggi Fortini s.r.l.,12.5,16,200,16,216
10776,1,12/15/2024,Nancy Davolio,42,Singaporean Hokkien Fried Mee,20,Leka Trading,14,12,168,13.44,181.44
10785,46,12/18/2024,Nancy Davolio,10,Ikura,4,Tokyo Traders,31,10,310,24.8,334.8
10785,46,12/18/2024,Nancy Davolio,75,Rhnbru Klosterbier,12,Plutzer Lebensmittelgromrkte AG,7.75,10,77.5,6.2,83.7
10789,47,12/22/2024,Nancy Davolio,35,Steeleye Stout,16,Bigfoot Breweries,18,15,270,21.6,291.6
10789,47,12/22/2024,Nancy Davolio,68,Scottish Longbreads,8,"Specialty Biscuits, Ltd.",12.5,18,225,18,243
10792,13,12/23/2024,Nancy Davolio,2,Chang,1,Exotic Liquids,19,10,190,15.2,205.2
10792,13,12/23/2024,Nancy Davolio,54,Tourtire,25,Ma Maison,7.45,3,22.35,1.79,24.14
10792,13,12/23/2024,Nancy Davolio,68,Scottish Longbreads,8,"Specialty Biscuits, Ltd.",12.5,15,187.5,15,202.5
10800,14,12/26/2024,Nancy Davolio,51,Manjimup Dried Apples,24,"G'day, Mate",53,10,530,42.4,572.4
10800,14,12/26/2024,Nancy Davolio,54,Tourtire,25,Ma Maison,7.45,7,52.15,4.17,56.32
10813,48,1/5/2025,Nancy Davolio,2,Chang,1,Exotic Liquids,19,12,228,18.24,246.24
10821,15,1/8/2025,Nancy Davolio,35,Steeleye Stout,16,Bigfoot Breweries,18,20,360,28.8,388.8
10821,15,1/8/2025,Nancy Davolio,51,Manjimup Dried Apples,24,"G'day, Mate",53,6,318,25.44,343.44
10825,49,1/9/2025,Nancy Davolio,26,Gumbr Gummibrchen,11,Heli Swaren GmbH & Co. KG,31.23,12,374.76,29.98,404.74
10825,49,1/9/2025,Nancy Davolio,53,Perth Pasties,24,"G'day, Mate",32.8,20,656,52.48,708.48
10827,9,1/12/2025,Nancy Davolio,10,Ikura,4,Tokyo Traders,31,15,465,37.2,502.2
10827,9,1/12/2025,Nancy Davolio,39,Chartreuse verte,18,Aux joyeux ecclsiastiques,18,21,378,30.24,408.24
10834,3,1/15/2025,Nancy Davolio,29,Thringer Rostbratwurst,12,Plutzer Lebensmittelgromrkte AG,123.79,8,990.32,79.23,1069.55
10834,3,1/15/2025,Nancy Davolio,30,Nord-Ost Matjeshering,13,Nord-Ost-Fisch Handelsgesellschaft mbH,25.89,20,517.8,41.42,559.22
10835,50,1/15/2025,Nancy Davolio,59,Raclette Courdavault,28,Gai pturage,55,15,825,66,891
10835,50,1/15/2025,Nancy Davolio,77,Original Frankfurter grne Soe,12,Plutzer Lebensmittelgromrkte AG,13,2,26,2.08,28.08
10842,4,1/20/2025,Nancy Davolio,11,Queso Cabrales,5,Cooperativa de Quesos 'Las Cabras',21,15,315,25.2,340.2
10842,4,1/20/2025,Nancy Davolio,43,Ipoh Coffee,20,Leka Trading,46,5,230,18.4,248.4
10842,4,1/20/2025,Nancy Davolio,68,Scottish Longbreads,8,"Specialty Biscuits, Ltd.",12.5,20,250,20,270
10842,4,1/20/2025,Nancy Davolio,70,Outback Lager,7,"Pavlova, Ltd.",15,12,180,14.4,194.4
10850,29,1/23/2025,Nancy Davolio,25,NuNuCa Nu-Nougat-Creme,11,Heli Swaren GmbH & Co. KG,14,20,280,22.4,302.4
10850,29,1/23/2025,Nancy Davolio,33,Geitost,15,Norske Meierier,2.5,4,10,0.8,10.8
10888,51,2/16/2025,Nancy Davolio,2,Chang,1,Exotic Liquids,19,20,380,30.4,410.4
10888,51,2/16/2025,Nancy Davolio,68,Scottish Longbreads,8,"Specialty Biscuits, Ltd.",12.5,18,225,18,243
10900,52,2/20/2025,Nancy Davolio,70,Outback Lager,7,"Pavlova, Ltd.",15,3,45,3.6,48.6
10902,53,2/23/2025,Nancy Davolio,62,Tarte au sucre,29,Forts d'rables,49.3,6,295.8,23.66,319.46
10909,16,2/26/2025,Nancy Davolio,7,Uncle Bob's Organic Dried Pears,3,Grandma Kelly's Homestead,30,12,360,28.8,388.8
10909,16,2/26/2025,Nancy Davolio,16,Pavlova,7,"Pavlova, Ltd.",17.45,15,261.75,20.94,282.69
10909,16,2/26/2025,Nancy Davolio,41,Jack's New England Clam Chowder,19,New England Seafood Cannery,9.65,5,48.25,3.86,52.11
10910,54,2/26/2025,Nancy Davolio,19,Teatime Chocolate Biscuits,8,"Specialty Biscuits, Ltd.",9.2,12,110.4,8.83,119.23
10910,54,2/26/2025,Nancy Davolio,49,Maxilaku,23,Karkki Oy,20,10,200,16,216
10910,54,2/26/2025,Nancy Davolio,61,Sirop d'rable,29,Forts d'rables,28.5,5,142.5,11.4,153.9
10916,55,2/27/2025,Nancy Davolio,16,Pavlova,7,"Pavlova, Ltd.",17.45,6,104.7,8.38,113.08
10916,55,2/27/2025,Nancy Davolio,32,Mascarpone Fabioli,14,Formaggi Fortini s.r.l.,32,6,192,15.36,207.36
10916,55,2/27/2025,Nancy Davolio,57,Ravioli Angelo,26,Pasta Buttini s.r.l.,19.5,20,390,31.2,421.2
10921,21,3/3/2025,Nancy Davolio,35,Steeleye Stout,16,Bigfoot Breweries,18,10,180,14.4,194.4
10928,56,3/5/2025,Nancy Davolio,47,Zaanse koeken,22,Zaanse Snoepfabriek,9.5,5,47.5,3.8,51.3
10928,56,3/5/2025,Nancy Davolio,76,Lakkalikri,23,Karkki Oy,18,5,90,7.2,97.2
10950,2,3/16/2025,Nancy Davolio,4,Chef Anton's Cajun Seasoning,2,New Orleans Cajun Delights,22,5,110,8.8,118.8
10952,50,3/16/2025,Nancy Davolio,6,Grandma's Boysenberry Spread,3,Grandma Kelly's Homestead,25,16,400,32,432
10952,50,3/16/2025,Nancy Davolio,28,Rssle Sauerkraut,12,Plutzer Lebensmittelgromrkte AG,45.6,2,91.2,7.3,98.5
10968,1,3/23/2025,Nancy Davolio,64,Wimmers gute Semmelkndel,12,Plutzer Lebensmittelgromrkte AG,33.25,4,133,10.64,143.64
10969,57,3/23/2025,Nancy Davolio,46,Spegesild,21,Lyngbysild,12,9,108,8.64,116.64
10975,58,3/25/2025,Nancy Davolio,8,Northwoods Cranberry Sauce,3,Grandma Kelly's Homestead,40,16,640,51.2,691.2
10975,58,3/25/2025,Nancy Davolio,75,Rhnbru Klosterbier,12,Plutzer Lebensmittelgromrkte AG,7.75,10,77.5,6.2,83.7
10976,25,3/25/2025,Nancy Davolio,28,Rssle Sauerkraut,12,Plutzer Lebensmittelgromrkte AG,45.6,20,912,72.96,984.96
10984,17,3/30/2025,Nancy Davolio,24,Guaran Fantstica,10,Refrescos Americanas LTDA,4.5,20,90,7.2,97.2
10991,59,4/1/2025,Nancy Davolio,70,Outback Lager,7,"Pavlova, Ltd.",15,20,300,24,324
10992,60,4/1/2025,Nancy Davolio,72,Mozzarella di Giovanni,14,Formaggi Fortini s.r.l.,34.8,2,69.6,5.57,75.17
10995,61,4/2/2025,Nancy Davolio,51,Manjimup Dried Apples,24,"G'day, Mate",53,20,1060,84.8,1144.8
10995,61,4/2/2025,Nancy Davolio,60,Camembert Pierrot,28,Gai pturage,34,4,136,10.88,146.88
11023,62,4/14/2025,Nancy Davolio,7,Uncle Bob's Organic Dried Pears,3,Grandma Kelly's Homestead,30,4,120,9.6,129.6
11027,58,4/16/2025,Nancy Davolio,62,Tarte au sucre,29,Forts d'rables,49.3,21,1035.3,82.82,1118.12
11038,63,4/21/2025,Nancy Davolio,40,Boston Crab Meat,19,New England Seafood Cannery,18.4,5,92,7.36,99.36
11038,63,4/21/2025,Nancy Davolio,52,Filo Mix,24,"G'day, Mate",7,2,14,1.12,15.12
11039,64,4/21/2025,Nancy Davolio,28,Rssle Sauerkraut,12,Plutzer Lebensmittelgromrkte AG,45.6,20,912,72.96,984.96
11039,64,4/21/2025,Nancy Davolio,35,Steeleye Stout,16,Bigfoot Breweries,18,24,432,34.56,466.56
11064,17,5/1/2025,Nancy Davolio,41,Jack's New England Clam Chowder,19,New England Seafood Cannery,9.65,12,115.8,9.26,125.06
11064,17,5/1/2025,Nancy Davolio,55,Pt chinois,25,Ma Maison,24,4,96,7.68,103.68
11067,49,5/4/2025,Nancy Davolio,41,Jack's New England Clam Chowder,19,New England Seafood Cannery,9.65,9,86.85,6.95,93.8
11069,4,5/4/2025,Nancy Davolio,39,Chartreuse verte,18,Aux joyeux ecclsiastiques,18,20,360,28.8,388.8
11071,10,5/5/2025,Nancy Davolio,7,Uncle Bob's Organic Dried Pears,3,Grandma Kelly's Homestead,30,15,450,36,486
11071,10,5/5/2025,Nancy Davolio,13,Konbu,6,Mayumi's,6,10,60,4.8,64.8
11077,7,5/6/2025,Nancy Davolio,2,Chang,1,Exotic Liquids,19,24,456,36.48,492.48
11077,7,5/6/2025,Nancy Davolio,3,Aniseed Syrup,1,Exotic Liquids,10,4,40,3.2,43.2
11077,7,5/6/2025,Nancy Davolio,4,Chef Anton's Cajun Seasoning,2,New Orleans Cajun Delights,22,1,22,1.76,23.76
11077,7,5/6/2025,Nancy Davolio,6,Grandma's Boysenberry Spread,3,Grandma Kelly's Homestead,25,1,25,2,27
11077,7,5/6/2025,Nancy Davolio,7,Uncle Bob's Organic Dried Pears,3,Grandma Kelly's Homestead,30,1,30,2.4,32.4
11077,7,5/6/2025,Nancy Davolio,8,Northwoods Cranberry Sauce,3,Grandma Kelly's Homestead,40,2,80,6.4,86.4
11077,7,5/6/2025,Nancy Davolio,10,Ikura,4,Tokyo Traders,31,1,31,2.48,33.48
11077,7,5/6/2025,Nancy Davolio,12,Queso Manchego La Pastora,5,Cooperativa de Quesos 'Las Cabras',38,2,76,6.08,82.08
11077,7,5/6/2025,Nancy Davolio,13,Konbu,6,Mayumi's,6,4,24,1.92,25.92
11077,7,5/6/2025,Nancy Davolio,14,Tofu,6,Mayumi's,23.25,1,23.25,1.86,25.11
11077,7,5/6/2025,Nancy Davolio,16,Pavlova,7,"Pavlova, Ltd.",17.45,2,34.9,2.79,37.69
11077,7,5/6/2025,Nancy Davolio,20,Sir Rodney's Marmalade,8,"Specialty Biscuits, Ltd.",81,1,81,6.48,87.48
11077,7,5/6/2025,Nancy Davolio,23,Tunnbrd,9,PB Knckebrd AB,9,2,18,1.44,19.44
11077,7,5/6/2025,Nancy Davolio,32,Mascarpone Fabioli,14,Formaggi Fortini s.r.l.,32,1,32,2.56,34.56
11077,7,5/6/2025,Nancy Davolio,39,Chartreuse verte,18,Aux joyeux ecclsiastiques,18,2,36,2.88,38.88
11077,7,5/6/2025,Nancy Davolio,41,Jack's New England Clam Chowder,19,New England Seafood Cannery,9.65,3,28.95,2.32,31.27
11077,7,5/6/2025,Nancy Davolio,46,Spegesild,21,Lyngbysild,12,3,36,2.88,38.88
11077,7,5/6/2025,Nancy Davolio,52,Filo Mix,24,"G'day, Mate",7,2,14,1.12,15.12
11077,7,5/6/2025,Nancy Davolio,55,Pt chinois,25,Ma Maison,24,2,48,3.84,51.84
11077,7,5/6/2025,Nancy Davolio,60,Camembert Pierrot,28,Gai pturage,34,2,68,5.44,73.44
11077,7,5/6/2025,Nancy Davolio,64,Wimmers gute Semmelkndel,12,Plutzer Lebensmittelgromrkte AG,33.25,2,66.5,5.32,71.82
11077,7,5/6/2025,Nancy Davolio,66,Louisiana Hot Spiced Okra,2,New Orleans Cajun Delights,17,1,17,1.36,18.36
11077,7,5/6/2025,Nancy Davolio,73,Rd Kaviar,17,Svensk Sjfda AB,15,2,30,2.4,32.4
